dt,currency,rate_to_rub,nominal
2016-06-11,GBP,93.4185,1
2016-06-11,RUB,1,1
2016-06-11,USD,64.7077,1
2016-10-28,EUR,68.7576,1
2016-10-28,GBP,77.1734,1
2016-10-28,RUB,1,1
2016-10-28,USD,63.0399,1
2016-12-13,EUR,65.072,1
2016-12-13,GBP,77.5728,1
2016-12-13,RUB,1,1
2016-12-13,USD,61.5804,1
2016-01-26,EUR,84.1603,1
2016-01-26,GBP,110.9456,1
2016-01-26,RUB,1,1
2016-01-26,USD,77.7965,1
2016-09-11,EUR,72.3359,1
2016-09-11,GBP,85.2645,1
2016-09-11,RUB,1,1
2016-09-11,USD,64.1617,1
